state,gender,year,name,number
AK,F,1910,Elsie,6
AL,F,1910,Annie,482
AL,F,1910,Katie,84
AL,F,1910,Alma,82
AL,F,1910,Thelma,65
AL,F,1910,Ellen,38
AL,F,1910,Rebecca,35
AL,F,1910,Estella,21
AL,F,1910,Corine,17
AL,F,1910,Margie,17
AL,F,1910,Emmie,12
AL,F,1910,Myrtis,10
AL,F,1910,Pinkie,10
AL,F,1910,Myrtie,9
AL,F,1910,Jeanette,8
AL,F,1910,Rubie,8
AL,F,1910,Maud,7
AL,F,1910,Trudie,7
AL,F,1910,Barbara,6
AL,F,1910,Glennie,6
AL,F,1910,Lassie,6
AL,F,1910,Liza,6
AL,F,1910,Hettie,5
AL,F,1910,Iona,5
AL,F,1910,Lorraine,5
AL,F,1910,Willie,257
AL,F,1910,Fannie,116
AL,F,1910,Sarah,107
AL,F,1910,Myrtle,104
AL,F,1910,Rosie,103
AL,F,1910,Lillian,99
AL,F,1910,Nellie,96
AL,F,1910,Mamie,88
AL,F,1910,Edna,86
AL,F,1910,Evelyn,83
AL,F,1910,Laura,70
AL,F,1910,Mabel,37
AL,F,1910,Josie,35
AL,F,1910,Pearlie,28
AL,F,1910,Rachel,26
AL,F,1910,Era,24
AL,F,1910,Bettie,16
AL,F,1910,Jean,16
AL,F,1910,Anne,13
AL,F,1910,Lucinda,11
AL,F,1910,Dessie,10
AL,F,1910,Linnie,10
AL,F,1910,Marion,10
AL,F,1910,Dovie,9
AL,F,1910,Ira,9
AL,F,1910,Ossie,9
AL,F,1910,Abbie,8
AL,F,1910,Clyde,8
AL,F,1910,Goldie,7
AL,F,1910,Lenora,7
AL,F,1910,Aline,6
AL,F,1910,Gennie,6
AL,F,1910,Vinnie,6
AL,F,1910,Exie,5
AL,F,1910,Tressie,5
AR,F,1910,Ruth,140
AR,F,1910,Marie,78
AR,F,1910,Rosie,67
AR,F,1910,Elizabeth,64
AR,F,1910,Velma,58
AR,F,1910,Eva,43
AR,F,1910,Dora,42
AR,F,1910,Lula,40
AR,F,1910,Bernice,36
AR,F,1910,Eula,30
AR,F,1910,Daisy,29
AR,F,1910,Addie,23
AR,F,1910,Sadie,20
AR,F,1910,Christine,16
AR,F,1910,Lizzie,13
AR,F,1910,Rose,12
AR,F,1910,Sylvia,11
AR,F,1910,Lou,7
AR,F,1910,Hettie,6
AR,F,1910,Melba,6
AR,F,1910,Camille,5
AR,F,1910,Eddie,5
AR,F,1910,Lonnie,5
AR,F,1910,Annie,84
AR,F,1910,Beatrice,61
AR,F,1910,Sarah,39
AR,F,1910,Virgie,30
AR,F,1910,Susie,24
AR,F,1910,Lela,20
AR,F,1910,Sallie,20
AR,F,1910,Lucile,19
AR,F,1910,Verna,15
AR,F,1910,Katie,14
AR,F,1910,Easter,9
AR,F,1910,Elma,8
AR,F,1910,Lora,8
AR,F,1910,Ava,6
AR,F,1910,Zella,6
AR,F,1910,Virgia,5
AZ,F,1910,Julia,8
